support,itemsets
0.026281383650586125,"frozenset({'/shuttle/missions/sts-71', '/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/missions'})"
0.026237064285239434,"frozenset({'/history/apollo/apollo-13', '/facilities'})"
0.026148425554546058,"frozenset({'/history/apollo/images', '/history/apollo/apollo-13', '/shuttle/missions'})"
0.026148425554546058,"frozenset({'/shuttle/missions/sts-69', '/facts'})"
0.02603762714117934,"frozenset({'/shuttle/resources/orbiters', '/shuttle/technology/sts-newsref', '/shuttle/missions'})"
0.02594898841048596,"frozenset({'/elv', '/elv/DELTA'})"
0.02594898841048596,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/missions/sts-70', '/shuttle/missions'})"
0.02588250936246593,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/apollo-13'})"
0.025793870631772554,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown/lps'})"
0.025793870631772554,frozenset({'/shuttle/missions/sts-74'})
0.025793870631772554,"frozenset({'/history/apollo', '/shuttle/countdown', '/shuttle/missions/sts-69'})"
0.025749551266425866,"frozenset({'/history/apollo', '/shuttle/missions/sts-69', '/history'})"
0.025749551266425866,"frozenset({'/shuttle/missions/sts-69', '/shuttle/resources/orbiters', '/facilities'})"
0.0256165931703858,"frozenset({'/history/apollo', '/history/apollo/images', '/shuttle/countdown'})"
0.02557227380503911,"frozenset({'/shuttle/resources/orbiters', '/history/apollo/images', '/shuttle/countdown', '/shuttle/missions'})"
0.02535067697830567,"frozenset({'/history/apollo/images', '/shuttle/technology/sts-newsref', '/history'})"
0.025173399516918916,"frozenset({'/shuttle/technology/images', '/history/apollo/images', '/shuttle/countdown'})"
0.02501828173820551,frozenset({'/history/skylab'})
0.02501828173820551,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/countdown/lps'})"
0.024951802690185477,frozenset({'/shuttle/missions/sts-78'})
0.024951802690185477,"frozenset({'/facilities', '/shuttle/missions/sts-70'})"
0.02492964300751213,"frozenset({'/history', '/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/missions'})"
